$GPRMC,053730.000,A,4226.8347,N,07628.8207,W,4.12,166.67,091222,,,A*7F        
$GPRMC,053735.000,A,4226.8302,N,07628.8231,W,3.05,201.00,091222,,,A*7C        
$GPRMC,053740.000,A,4226.8256,N,07628.8248,W,3.01,187.06,091222,,,A*7F        
$GPRMC,053746.000,A,4226.8218,N,07628.8280,W,2.67,181.48,091222,,,A*7A        
$GPRMC,053751.000,A,4226.8170,N,07628.8290,W,3.48,183.71,091222,,,A*74        
$GPRMC,053757.000,A,4226.8107,N,07628.8304,W,2.84,195.15,091222,,,A*7A        
$GPRMC,053803.000,A,4226.8045,N,07628.8310,W,2.85,184.19,091222,,,A*7B        
$GPRMC,053809.000,A,4226.7983,N,07628.8328,W,3.31,206.45,091222,,,A*78        
$GPRMC,053814.000,A,4226.7958,N,07628.8369,W,3.39,236.60,091222,,,A*7B        
$GPRMC,053819.000,A,4226.7947,N,07628.8433,W,3.10,255.57,091222,,,A*7A        
$GPRMC,053825.000,A,4226.7927,N,07628.8510,W,3.81,242.52,091222,,,A*78        
$GPRMC,053831.000,A,4226.7892,N,07628.8586,W,2.75,251.02,091222,,,A*70        
$GPRMC,053836.000,A,4226.7880,N,07628.8633,W,3.41,253.12,091222,,,A*7C        
$GPRMC,053842.000,A,4226.7871,N,07628.8684,W,0.00,232.92,091222,,,A*74        
$GPRMC,053848.000,A,4226.7828,N,07628.8673,W,1.83,217.90,091222,,,A*75        
$GPRMC,053854.000,A,4226.7831,N,07628.8736,W,3.13,271.44,091222,,,A*72        
$GPRMC,053900.000,A,4226.7841,N,07628.8797,W,2.85,269.85,091222,,,A*74        
$GPRMC,053906.000,A,4226.7854,N,07628.8877,W,3.51,281.46,091222,,,A*76        
$GPRMC,053911.000,A,4226.7810,N,07628.8945,W,3.49,204.93,091222,,,A*7C        
$GPRMC,053917.000,A,4226.7736,N,07628.8996,W,3.31,192.14,091222,,,A*73        
$GPRMC,053923.000,A,4226.7663,N,07628.9050,W,2.56,178.92,091222,,,A*7D        
$GPRMC,053929.000,A,4226.7601,N,07628.9072,W,3.48,182.66,091222,,,A*73        
$GPRMC,053935.000,A,4226.7547,N,07628.9058,W,3.10,182.93,091222,,,A*70        
$GPRMC,053941.000,A,4226.7491,N,07628.9064,W,3.08,167.73,091222,,,A*7A        
$GPRMC,053947.000,A,4226.7443,N,07628.9035,W,2.49,153.51,091222,,,A*74        
$GPRMC,053953.000,A,4226.7401,N,07628.9009,W,3.06,137.98,091222,,,A*75        
$GPRMC,053959.000,A,4226.7351,N,07628.8959,W,3.65,170.95,091222,,,A*7B        
$GPRMC,054005.000,A,4226.7290,N,07628.8931,W,3.56,182.49,091222,,,A*72        
$GPRMC,054011.000,A,4226.7233,N,07628.8913,W,3.70,171.82,091222,,,A*71        
$GPRMC,054017.000,A,4226.7169,N,07628.8891,W,3.31,175.90,091222,,,A*72        
$GPRMC,054023.000,A,4226.7117,N,07628.8914,W,3.39,238.12,091222,,,A*78        
$GPRMC,054029.000,A,4226.7104,N,07628.8985,W,2.43,275.09,091222,,,A*77        
$GPRMC,054035.000,A,4226.7111,N,07628.9056,W,3.42,287.31,091222,,,A*7E        
$GPRMC,054041.000,A,4226.7120,N,07628.9131,W,3.41,261.81,091222,,,A*7F        
$GPRMC,054047.000,A,4226.7132,N,07628.9206,W,2.97,278.66,091222,,,A*76        
$GPRMC,054053.000,A,4226.7143,N,07628.9269,W,2.48,273.77,091222,,,A*75        
$GPRMC,054059.000,A,4226.7144,N,07628.9319,W,2.04,235.23,091222,,,A*75
